day;holiday
01-01;New Year's Day
01-02;World Introvert Day
01-03;International Mind-Body Wellness Day
01-04;World Braille Day
01-05;Whipped Cream Day
01-06;Epiphany
01-07;Orthodox Christmas Day
01-08;Earth’s Rotation Day
01-09;International Choreographers Day
01-10;Cut Your Energy Costs Day
01-11;International Parity at Work Day
01-12;Marzipan Day
01-13;Rubber Duck Day
01-14;New Year's Day (Julian calendar)
01-15;Wikipedia Day
01-16;Martin Luther King Jr. Day
01-17;Ditch New Year's Resolutions Day
01-18;Winnie the Pooh Day
01-19;Popcorn Day
01-20;World Bigos Day
01-21;Grandma's Day (Poland)
01-22;Grandpa's Day (Poland)
01-23;Handwriting Day
01-24;Macintosh Computer Day
01-25;Opposite Day
01-26;International Environmental Education Day
01-27;International Holocaust Rememberance Day
01-28;Lego Day
01-29;Puzzle Day
01-30;Croissant Day
01-31;International Zebra Day
02-01;Car Insurance Day
02-02;Groundhog Day
02-03;International Golden Retriever Day
02-04;World Cancer Day
02-05;World Nutella Day
02-06;Bob Marley Day
02-07;Rose Day
02-08;Opera Day
02-09;International Pizza Day
02-10;Teddy Day
02-11;International Day of Women and Girls in Science
02-12;Darwin Day
02-13;World Radio Day
02-14;Valentine's Day
02-15;Singles Awareness Day
02-16;Innovation Day
02-17;National Cat Day (Poland)
02-18;Pluto Day
02-19;Polish Science Day
02-20;World Day of Social Justice
02-21;International Mother Language Day
02-22;World Thinking Day
02-23;Polish Depression Awareness Day
02-24;Twin Peaks Day
02-25;National Chocolate Covered Nut Day
02-26;Dinosaur Day (Poland)
02-27;International Polar Bear Day
02-28;Public Sleeping Day
02-29;Rare Disease Day
03-01;Zero Discrimination Day
03-02;International Rescue Cat Day
03-03;World Wildlife Day
03-04;Global Day of the Engineer
03-05;Day of the European Surveyor and Geoinformation
03-06;European Day of the Righteous
03-07;National Cereal Day
03-08;International Women's Day
03-09;Day of Polish Statistics
03-10;Mario Day
03-11;National No-Code Day
03-12;World Day Against Cyber Censorship
03-13;Workplace Napping Day
03-14;Pi Day
03-15;World Consumer Rights Day
03-16;National Panda Day
03-17;Saint Patrick's Day
03-18;Global Recycling Day
03-19;Kashubian Unity Day
03-20;International Day of Happiness
03-21;International Day of Forests
03-22;World Water Day
03-23;World Meteorogical Day
03-24;World Tuberculosis Day
03-25;Annunciation
03-26;Day of Prayers for Prisoners
03-27;World Theatre Day
03-28;Respect Your Cat Day
03-29;Mermaid Day
03-30;Doctors' Day
03-31;World Backup Day
04-01;April Fools' Day
04-02;World Autism Awareness Day
04-03;Find a Rainbow Day
04-04;International Carrot Day
04-05;Caramel Day
04-06;International Day of Sport for Development and Peace
04-07;World Health Day
04-08;International Roma Day
04-09;Unicorn Day
04-10;International Safety Pin Day
04-11;World Parkinson's Disease Day
04-12;World Hamster Day
04-13;Scrabble Day
04-14;Baptism of Poland Day
04-15;McDonald's Day
04-16;Save the Elephant Day
04-17;Ford Mustang Day
04-18;World Heritage Day
04-19;Garlic Day
04-20;Chinese Language Day
04-21;Parilia
04-22;Earth Day
04-23;World Book Day
04-24;World Day for Laboratory Animals
04-25;World Malaria Day
04-26;World Intellectual Property Day
04-27;World Graphics Day
04-28;World Day for Safety and Health at Work
04-29;International Dance Day
04-30;International Jazz Day
05-01;Labour Day
05-02;Flag Day (Poland)
05-03;3 May Constitution Day (Poland)
05-04;Star Wars Day
05-05;Europe Day (Council of Europe)
05-06;International Drone Day
05-07;Beaufort Scale Day
05-08;Victory in Europe Day
05-09;Europe Day (European Union)
05-10;Mother Ocean Day
05-11;Non-Waste Day (Poland)
05-12;International Nurses Day
05-13;International Hummus Day
05-14;Pharmacist Day (Poland)
05-15;International Day of Families
05-16;International Day of Light
05-17;World Telecommunication and Information Society Day
05-18;International Museum Day
05-19;Good Deeds Day (Poland)
05-20;European Maritime Day
05-21;World Day for Cultural Diversity for Dialogue and Development
05-22;World Biodiversity Day
05-23;World Turtle Day
05-24;European Day of Parks
05-25;Africa Day
05-26;Mother's Day (Poland)
05-27;Municipal Government Day (Poland)
05-28;International Burger Day
05-29;Mount Everest Day
05-30;Foster Care Day (Poland)
05-31;World No Tobacco Day
06-01;Children's Day (Poland)
06-02;No Tie Day (Poland)
06-03;World Bicycle Day
06-04;International Corgi Day
06-05;World Environment Day
06-06;Caves and Karst Day
06-07;Global Running Day
06-08;World Oceans Day
06-09;International Archives Day
06-10;International Heraldry Day
06-11;International Lynx Day
06-12;World Day Against Child Labour
06-13;International Axe Throwing Day
06-14;World Blood Donor Day
06-15;Global Wind Day
06-16;International Waterfall Day
06-17;World Day to Combat Desertification and Drought
06-18;International Sushi Day
06-19;International Box Day
06-20;National Day of the Silesian Uprisings (Poland)
06-21;International Day of Yoga
06-22;World Rainforest Day
06-23;Father's Day (Poland)
06-24;International Fairy Day
06-25;Day of the Seafarer
06-26;International Day Against Drug Abuse and Illicit Trafficking
06-27;International Pineapple Day
06-28;National Day of Rememberance of Poznań June 1956 Events (Poland)
06-29;WOPR Lifeguard Day (Poland)
06-30;Asteroid Day
07-01;National Dog Day (Poland)
07-02;World UFO Day
07-03;International Plastic Bag Free Day
07-04;Alice in Wonderland Day
07-05;Mechanical Pencil Day
07-06;International Kissing Day
07-07;World Chocolate Day
07-08;Be a Kid Again Day
07-09;Collector Car Appreciation Day
07-10;Nikola Tesla Day
07-11;World Population Day
07-12;Polish Countryside Fight and Martyrdom Day
07-13;International Rock Day
07-14;Shark Awareness Day
07-15;World Youth Skills Day
07-16;Ice Cream Day
07-17;World Emoji Day
07-18;Mandela Day
07-19;Little Red Riding Hood Day
07-20;International Moon Day
07-21;Take a Monkey to Lunch Day
07-22;Pi Approximation Day
07-23;Peanut Butter and Chocolate Day
07-24;Police Day (Poland)
07-25;Safe Driving Day (Poland)
07-26;International Day for the Conservation of the Mangrove Ecosystem
07-27;Walk on Stilts Day
07-28;World Hepatitis Day
07-29;International Tiger Day
07-30;International Day of Friendship
07-31;Finances Day (Poland)
08-01;Warsaw Uprising Day
08-02;CAD Day
08-03;Watermelon Day
08-04;Assistance Dog Day
08-05;Couscous Day
08-06;Fresh Breath Day
08-07;Aged Care Employee Day
08-08;Great Bee Day (Poland)
08-09;International Day of the World's Indigenous People
08-10;World Lion Day
08-11;Heritage Conservationist Day (Poland)
08-12;International Youth Day
08-13;International Left-Handers Day
08-14;Electricians' Day (Poland)
08-15;Armed Forces Day (Poland), Assumption of Mary
08-16;Roller Coaster Day
08-17;Thrift Shop Day
08-18;World Breast Cancer Research Day
08-19;World Humanitarian Day
08-20;World Mosquito Day
08-21;International Day of Remembrance and Tribute to the Victims of Terrorism
08-22;International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief
08-23;Black Ribbon Day
08-24;Windows Day
08-25;Polish Food Day
08-26;International Dog Day
08-27;International Lottery Day
08-28;Polish Aviation Day
08-29;International Day Against Nuclear Tests
08-30;International Day of the Disappeared
08-31;Day of Solidarity and Freedom in Poland
09-01;Veterans Day (Poland)
09-02;World Coconut Day
09-03;Skyscraper Day
09-04;Macadamia Nut Day
09-05;International Day of Charity
09-06;Fight Procrastination Day
09-07;World Duchenne Awareness Day
09-08;International Literacy Day
09-09;International Sudoku Day
09-10;World Suicide Prevention Day
09-11;Make Your Bed Day
09-12;United Nations Day for South-South Cooperation
09-13;Peanut Day
09-14;Gobstopper Day
09-15;International Day of Democracy
09-16;World Ozone Day
09-17;Siberian Deportees' Day (Poland)
09-18;International Red Panda Day
09-19;International Talk Like a Pirate Day
09-20;Polish Prescoolers' Day
09-21;World Peace Day
09-22;World Car Free Day
09-23;International Day of Sign Languages
09-24;Bluebird of Happiness Day
09-25;Construction Workers' Day (Poland)
09-26;European Day of Languages
09-27;World Tourism Day
09-28;World Rabies Day
09-29;International Day of Awareness of Food Loss and Waste
09-30;International Translation Day
10-01;International Day of Older Persons
10-02;International Day of Non-Violence
10-03;Butterfly and Hummingbird Day
10-04;World Animal Day
10-05;World Teachers' Day
10-06;World Cerebral Palsy Day
10-07;Bathtub Day
10-08;Pierogi Day
10-09;World Post Day
10-10;World Mental Health Day
10-11;International Day of the Girl Child
10-12;World Arthtitis Day
10-13;International Day for Disaster Reduction
10-14;Teachers' Day (Poland)
10-15;Global Handwashing Day
10-16;World Food Day
10-17;International Day for the Eradication of Poverty
10-18;Polish Post Day
10-19;Ride To Work Day
10-20;World Statistics Day
10-21;Back to the Future Day
10-22;International Stuttering Awareness Day
10-23;World Snow Leopard Day
10-24;United Nations Day
10-25;International Artist Day
10-26;Howl at the Moon Night
10-27;World Day for Audiovisual Heritage
10-28;International Animation Day
10-29;World Stroke Day
10-30;Skirt Day (Poland)
10-31;Halloween
11-01;All Saints' Day
11-02;All Souls' Day
11-03;Hubertus
11-04;Cheap Wine Day (Poland)
11-05;American Football Day
11-06;International Day for Preventing the Exploitation of the Environment in War and Armed Conflict
11-07;Pork Chop Day (Poland)
11-08;World Urbanism Day
11-09;International Day against Fascism and Antisemitism
11-10;World Science Day for Peace and Development
11-11;National Independence Day (Poland)
11-12;World Pneumonia Day
11-13;World Kindness Day
11-14;World Diabetes Day
11-15;World Chronic Obstructive Pulmonary Disease Day
11-16;International Day of Tolerance
11-17;World Prematurity Day
11-18;Mickey Mouse Day
11-19;International Men's Day
11-20;World Children's Day
11-21;World Television Day
11-22;Love Your Freckles Day
11-23;Fibonacci Day
11-24;Celebrate Your Unique Talent Day
11-25;Railwaymen's Day (Poland)
11-26;International Cake Day
11-27;Turtle Adoption Day
11-28;Red Planet Day
11-29;International Day of Solidarity with the Palestinian People
11-30;Saint Andrew's Day
12-01;World AIDS Day
12-02;International Day for the Abolition of Slavery
12-03;International Day of Persons with Disabilities
12-04;Miners' Day (Poland)
12-05;World Soil Day
12-06;Saint Nicholas Day
12-07;International Civil Aviation Day
12-08;Brownie Day
12-09;International Anti-Corruption Day
12-10;Human Rights Day
12-11;International Mountain Day
12-12;Gingerbread House Day
12-13;Violin Day
12-14;Monkey Day
12-15;International Tea Day
12-16; Chocolate Covered Anything Day
12-17;No Profanity Day (Poland)
12-18;International Migrants Day
12-19;Look for an Evergreen Day
12-20;Fish Day (Poland)
12-21;Crossword Puzzle Day
12-22;Short Person Day
12-23;Festivus
12-24;Christmas Eve
12-25;Christmas Day
12-26;Boxing Day
12-27;National Day of the Victorious Greater Poland Uprising
12-28;Card Playing Day
12-29;International Cello Day
12-30;Cottage Cheese Day (Poland)
12-31;New Year's Eve
